,ANO_ELEICAO,UF,NUMERO_CANDIDATO,NOME_URNA_CANDIDATO,G_Index,V2,Cand_Name_Numb,MoranI,Above_avg_G,Above_avg_I,Quadrant,Party_Number
8477,2010,MG,5070,PASCHOALIN,0.150730202,131,PASCHOALIN - 5070,0.043812574,FALSE,FALSE,Deconcentrated and Discontiguous,50
8478,2010,MG,5077,GERALDO DA CARROCERIA,0.474965663,1655,GERALDO DA CARROCERIA - 5077,0.016781242,TRUE,FALSE,Concentrated and Discontiguous,50
8479,2010,MG,5090,ELTON CRUVINEL,0.493186614,514,ELTON CRUVINEL - 5090,0.107190006,TRUE,FALSE,Concentrated and Discontiguous,50
8480,2010,MG,6510,WADSON RIBEIRO,0.144408684,54494,WADSON RIBEIRO - 6510,0.239660426,FALSE,TRUE,Deconcentrated and Contiguous,65
8481,2010,MG,6533,DR MANOEL MESSIAS,0.340575634,4933,DR MANOEL MESSIAS - 6533,0.178506641,TRUE,TRUE,Concentrated and Contiguous,65
8482,2010,MG,6544,RUBENS DO COREN,0.014876854,12735,RUBENS DO COREN - 6544,0.386002851,FALSE,TRUE,Deconcentrated and Contiguous,65
8483,2010,MG,6556,WALLACY MENEZES,0.237080384,1297,WALLACY MENEZES - 6556,0.086965378,TRUE,FALSE,Concentrated and Discontiguous,65
8484,2010,MG,6565,JÔ MORAES,0.176400507,105977,JÔ MORAES - 6565,0.33747439,TRUE,TRUE,Concentrated and Contiguous,65
8485,2010,MG,6566,SEVERA,0.14714422,240,SEVERA - 6566,0.031156909,FALSE,FALSE,Deconcentrated and Discontiguous,65
8486,2010,MG,6577,ANGÉLICA,0.064071523,95,ANGÉLICA - 6577,0.004874357,FALSE,FALSE,Deconcentrated and Discontiguous,65
8487,2010,MG,6588,JACIRA,0.08276187,51,JACIRA - 6588,0.006668419,FALSE,FALSE,Deconcentrated and Discontiguous,65
8488,2010,MG,7000,JOAO PENNA,0.283830424,1864,JOAO PENNA - 7000,0.081447618,TRUE,FALSE,Concentrated and Discontiguous,70
8489,2010,MG,7001,DR BETINHO,0.206578074,312,DR BETINHO - 7001,0.212748546,TRUE,TRUE,Concentrated and Contiguous,70
8490,2010,MG,7004,ISMAEL PEREIRA,0.143118318,557,ISMAEL PEREIRA - 7004,0.04339213,FALSE,FALSE,Deconcentrated and Discontiguous,70
8491,2010,MG,7007,ADARLEI,0.13507218,9159,ADARLEI - 7007,0.394664383,FALSE,TRUE,Deconcentrated and Contiguous,70
8492,2010,MG,7010,CABO COELHO,0.007178831,26223,CABO COELHO - 7010,0.231531417,FALSE,TRUE,Deconcentrated and Contiguous,70
8493,2010,MG,7011,AVELINO NOGUEIRA,0.111067614,741,AVELINO NOGUEIRA - 7011,0.203137974,FALSE,TRUE,Deconcentrated and Contiguous,70
8494,2010,MG,7013,ARMANDO DEL BIANCO,0.040920129,1238,ARMANDO DEL BIANCO - 7013,0.057193479,FALSE,FALSE,Deconcentrated and Discontiguous,70
8495,2010,MG,7014,ROBSON SOUZINHA,0.126994455,1136,ROBSON SOUZINHA - 7014,0.084315332,FALSE,FALSE,Deconcentrated and Discontiguous,70
8496,2010,MG,7017,CORONEL JEFFERSON,0.309365726,5197,CORONEL JEFFERSON - 7017,0.0612215,TRUE,FALSE,Concentrated and Discontiguous,70
8497,2010,MG,7019,CESINHA DA AUTO ESCOLA,0.666392564,2265,CESINHA DA AUTO ESCOLA - 7019,0.03420628,TRUE,FALSE,Concentrated and Discontiguous,70
8498,2010,MG,7020,GOMES,0.098634122,1120,GOMES - 7020,0.283926434,FALSE,TRUE,Deconcentrated and Contiguous,70
8499,2010,MG,7021,GERALDA BAHIANA,0.519032941,160,GERALDA BAHIANA - 7021,0.072846382,TRUE,FALSE,Concentrated and Discontiguous,70
8500,2010,MG,7022,FERLANDA GOMES,0.086579901,128,FERLANDA GOMES - 7022,0.026250688,FALSE,FALSE,Deconcentrated and Discontiguous,70
8501,2010,MG,7023,NEREU EDSON,0.323506096,546,NEREU EDSON - 7023,0.124971491,TRUE,TRUE,Concentrated and Contiguous,70
8502,2010,MG,7024,ANDRE REZENDE,0.228603048,2292,ANDRE REZENDE - 7024,0.240986051,TRUE,TRUE,Concentrated and Contiguous,70
8503,2010,MG,7027,SANDRA LOPES,0.254034357,602,SANDRA LOPES - 7027,0.204779673,TRUE,TRUE,Concentrated and Contiguous,70
8504,2010,MG,7030,SILVANO ARAUJO,0.09336089,29213,SILVANO ARAUJO - 7030,0.317833611,FALSE,TRUE,Deconcentrated and Contiguous,70
8505,2010,MG,7031,CHOCOLATE,0.563037378,1830,CHOCOLATE - 7031,0.05902573,TRUE,FALSE,Concentrated and Discontiguous,70
8506,2010,MG,7032,SALETE,0.429943197,219,SALETE - 7032,0.018115387,TRUE,FALSE,Concentrated and Discontiguous,70
8507,2010,MG,7033,SO ALEGRIA,0.616110151,2194,SO ALEGRIA - 7033,0.212765407,TRUE,TRUE,Concentrated and Contiguous,70
8508,2010,MG,7050,DR EZIO,0.277983073,3767,DR EZIO - 7050,0.250844122,TRUE,TRUE,Concentrated and Contiguous,70
8509,2010,MG,7051,JAQUELINE ALVES,0.350272124,63,JAQUELINE ALVES - 7051,-0.00268198,TRUE,FALSE,Concentrated and Discontiguous,70
8510,2010,MG,7053,PROFESSORA ZELINDA BICALHO,0.261665069,933,PROFESSORA ZELINDA BICALHO - 7053,0.014610466,TRUE,FALSE,Concentrated and Discontiguous,70
8511,2010,MG,7056,WALFREDO,0.077148601,3577,WALFREDO - 7056,0.07578947,FALSE,FALSE,Deconcentrated and Discontiguous,70
8512,2010,MG,7064,VADINHO SETE BOIA,0.484674772,552,VADINHO SETE BOIA - 7064,0.014856094,TRUE,FALSE,Concentrated and Discontiguous,70
8513,2010,MG,7065,SUB TENENTE CELSO LEITE,0.095956905,147,SUB TENENTE CELSO LEITE - 7065,0.032831801,FALSE,FALSE,Deconcentrated and Discontiguous,70
8514,2010,MG,7066,DAVI PEREIRA,0.360652797,333,DAVI PEREIRA - 7066,0.040378511,TRUE,FALSE,Concentrated and Discontiguous,70
8515,2010,MG,7070,LUIS TIBE,0.388414299,58677,LUIS TIBE - 7070,0.100036041,TRUE,FALSE,Concentrated and Discontiguous,70
8516,2010,MG,7077,KAL BAIANO,0.038908861,3777,KAL BAIANO - 7077,0.066183039,FALSE,FALSE,Deconcentrated and Discontiguous,70
8517,2010,MG,7078,PROFESSORA DALVA,0.281169813,330,PROFESSORA DALVA - 7078,0.007532093,TRUE,FALSE,Concentrated and Discontiguous,70
8518,2010,MG,7087,ELIAS GALDINO,0.198473492,8724,ELIAS GALDINO - 7087,0.362992916,TRUE,TRUE,Concentrated and Contiguous,70
8519,2010,MG,7088,JOSE MARIA CABOCLO,0.041104723,25084,JOSE MARIA CABOCLO - 7088,0.271945046,FALSE,TRUE,Deconcentrated and Contiguous,70
8520,2010,MG,7089,EDIMILSOM BATISTA,0.124340584,25973,EDIMILSOM BATISTA - 7089,0.397434231,FALSE,TRUE,Deconcentrated and Contiguous,70
8521,2010,MG,7090,WILLER MARCAO,0.249472444,618,WILLER MARCAO - 7090,0.145094623,TRUE,TRUE,Concentrated and Contiguous,70
