"","ANO_ELEICAO","UF","NUMERO_CANDIDATO","NOME_URNA_CANDIDATO","NUMERO_PARTIDO","DESC_SIT_TOT_TURNO","G_Index","V2","Cand_Name_Numb","MoranI","Above_avg_G","Above_avg_I","Quadrant"
"22381",2014,"SP",1029,"EDSON TATSUMI SAKAUE",10,"SUPLENTE",0.793848440998662,2292,"EDSON TATSUMI SAKAUE - 1029",0.0161444548792148,TRUE,FALSE,"Concentrated and Discontiguous"
"22382",2014,"SP",1030,"JOÃO FARIAS",10,"SUPLENTE",0.256010214165681,18120,"JOÃO FARIAS - 1030",0.213942635325012,TRUE,TRUE,"Concentrated and Contiguous"
"22383",2014,"SP",1031,"TÉKA MORAES",10,"SUPLENTE",0.141768572426764,383,"TÉKA MORAES - 1031",0.106803337470773,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22384",2014,"SP",1032,"BISPA SIMONE",10,"SUPLENTE",0.0176421483199436,2479,"BISPA SIMONE - 1032",0.194747794849275,FALSE,TRUE,"Deconcentrated and Contiguous"
"22385",2014,"SP",1033,"THABATA YAMAUCHI",10,"SUPLENTE",0.128040105266921,5513,"THABATA YAMAUCHI - 1033",0.156307736192264,FALSE,TRUE,"Deconcentrated and Contiguous"
"22386",2014,"SP",1034,"JOSIMAR PERES",10,"SUPLENTE",0.511949486895129,1236,"JOSIMAR PERES - 1034",0.13767251740987,TRUE,TRUE,"Concentrated and Contiguous"
"22387",2014,"SP",1035,"ANA OLIVEIRA",10,"NÃO ELEITO",0.0251763364991144,161,"ANA OLIVEIRA - 1035",0.00507146045343516,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22388",2014,"SP",1036,"PAULO BASSOLI",10,"SUPLENTE",0.138190449622564,766,"PAULO BASSOLI - 1036",0.143182261573545,FALSE,TRUE,"Deconcentrated and Contiguous"
"22389",2014,"SP",1037,"MARGARETE DE JESUS",10,"SUPLENTE",0.326398752656521,495,"MARGARETE DE JESUS - 1037",0.0232726862669214,TRUE,FALSE,"Concentrated and Discontiguous"
"22390",2014,"SP",1038,"MARCIO CAMPOS",10,"SUPLENTE",0.54411087064909,963,"MARCIO CAMPOS - 1038",0.0324817183229078,TRUE,FALSE,"Concentrated and Discontiguous"
"22391",2014,"SP",1039,"ERMY ANDRADE",10,"SUPLENTE",0.0554563531825144,41,"ERMY ANDRADE - 1039",-0.00150175974044933,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22392",2014,"SP",1040,"NADIA BACCHI",10,"SUPLENTE",0.106315718552517,2276,"NADIA BACCHI - 1040",0.100046148406823,FALSE,FALSE,"Deconcentrated and Discontiguous"
"22393",2014,"SP",1041,"VLAMIR BERNARDES",10,"SUPLENTE",0.245814543265924,2079,"VLAMIR BERNARDES - 1041",0.109937594335468,TRUE,FALSE,"Concentrated and Discontiguous"
"22394",2014,"SP",1042,"ROSICLER RIBEIRO",10,"SUPLENTE",0.194399019463523,1003,"ROSICLER RIBEIRO - 1042",0.0928481859541133,TRUE,FALSE,"Concentrated and Discontiguous"
"22395",2014,"SP",1043,"VITÓRIO QUEIROZ",10,"SUPLENTE",0.160487402349112,257,"VITÓRIO QUEIROZ - 1043",-0.0011532761585508,TRUE,FALSE,"Concentrated and Discontiguous"
"22396",2014,"SP",1044,"BETO MANSUR",10,"ELEITO POR QP",0.190264348743913,31301,"BETO MANSUR - 1044",0.313107060837156,TRUE,TRUE,"Concentrated and Contiguous"
"22397",2014,"SP",1045,"DOUTOR LIMA",10,"SUPLENTE",0.0512031745699484,2010,"DOUTOR LIMA - 1045",0.140517316074609,FALSE,TRUE,"Deconcentrated and Contiguous"
"22398",2014,"SP",1046,"SERGINHO",10,"SUPLENTE",0.746688965605256,7400,"SERGINHO - 1046",0.0463595055305888,TRUE,FALSE,"Concentrated and Discontiguous"
"22399",2014,"SP",1047,"MARQUINHOS",10,"SUPLENTE",0.900041927750479,1510,"MARQUINHOS - 1047",0.0162766545352695,TRUE,FALSE,"Concentrated and Discontiguous"
